country_of_residence,n,pct
United Kingdom,2018,39
United States,1436,27.8
未提供,720,13.9
Canada,161,3.1
Australia,121,2.3
Germany,108,2.1
Norway,74,1.4
New Zealand,52,1
Ireland,50,1
Netherlands,48,0.9
Switzerland,46,0.9
France,42,0.8
Italy,39,0.8
Denmark,27,0.5
South Africa,22,0.4
Sweden,19,0.4
Austria,17,0.3
Poland,17,0.3
Belgium,16,0.3
Spain,16,0.3
Mexico,10,0.2
Finland,9,0.2
Brazil,8,0.2
Singapore,8,0.2
Czechia,7,0.1
Portugal,7,0.1
Japan,6,0.1
United Arab Emirates,5,0.1
Afghanistan,4,0.1
China,4,0.1
Greece,4,0.1
India,4,0.1
Hungary,3,0.1
South Korea,3,0.1
Thailand,3,0.1
Bulgaria,2,0
Chile,2,0
Colombia,2,0
Cyprus,2,0
Israel,2,0
Russia,2,0
Serbia,2,0
Slovenia,2,0
Turkey,2,0
Vietnam,2,0
Azerbaijan,1,0
Burkina Faso,1,0
Burundi,1,0
Egypt,1,0
Estonia,1,0
Federated States of Micronesia,1,0
Indonesia,1,0
Kenya,1,0
Latvia,1,0
Lithuania,1,0
Luxembourg,1,0
Malaysia,1,0
Malta,1,0
Myanmar (Burma),1,0
North Macedonia,1,0
Peru,1,0
Slovakia,1,0
The Gambia,1,0
Ukraine,1,0
Venezuela,1,0
